unique_id	title	description	content	url	image	published_at	source_name	source_url	country	category
68714f5e-6d64-4aac-bc8f-8ed04db194ea	Shahid Afridi lambasts Shan Masood, PCB with 'serious questions' after BAN loss: 'Clearly shows lack of awareness'	It was Pakistan's first loss to Bangladesh in Test history, where they have faced each other 14 times, and it saw the side trail 1-0 in the two-Test contest. | Crickit	Former Pakistan captain Shahid Afridi, on Sunday, lashed out at incumbent Test skipper Shan Masood and the Pakistan Cricket Board (PCB) after the team succumbed to a humiliating 10-wicket loss against Bangladesh in the series opener. It was Pakistan'... [2269 chars]	https://www.hindustantimes.com/cricket/shahid-afridi-lambasts-shan-masood-pcb-serious-questions-bangladesh-loss-1st-test-pakistan-shows-lack-of-awareness-101724593444912.html	https://www.hindustantimes.com/ht-img/img/2024/08/25/1600x900/afridi_masood_1724593982896_1724593990546.jpg	2024-08-25 14:07:19+00:00	Hindustan Times	https://www.hindustantimes.com	in	general
6167d38e-46af-4176-97c2-846960051f6b	Rahul Gandhi on India Today MOTN survey on caste census: No power can stop it	Rahul Gandhi retweeted a post by the Congress's social media handle, which had cited a report of the MOTN survey in August. As per the survey, 74 per cent of respondents were in favour of a caste census, an increase from 59 per cent in February when the survey was last conducted.	"Congress MP Rahul Gandhi on Sunday doubled down on his demand for a nationwide caste-census, citing data from India Today's Mood of the Nation (MOTN) survey.
In a tweet, Rahul Gandhi said, ""Modiji, if you are thinking of stopping the caste census, yo... [1815 chars]"	https://www.indiatoday.in/india/story/rahul-gandhi-india-today-mood-of-the-nation-caste-census-modi-2587648-2024-08-25	https://akm-img-a-in.tosshub.com/indiatoday/images/story/202408/rahul-gandhi-252841341-16x9.jpg?VersionId=ffr9ahII1wh.nlFJarT0K2f0rcXGh4.2	2024-08-25 14:07:08+00:00	India Today	https://www.indiatoday.in	in	general
b96341c3-ff76-4019-9ba5-108c55019c2f	Monday Bank Closed: Banks will be closed in these states on Monday, know the reason	Bank Holiday on Janmashtami: Tomorrow, Monday 26 August 2024, the whole country will celebrate the festival of Janmashtami. Banks will not remain closed across the country due to Janmashtami. Banks will remain open in some states and will remain closed in some states. Here we are telling you the names of those states where banks	Bank Holiday on Janmashtami: Tomorrow, Monday 26 August 2024, the whole country will celebrate the festival of Janmashtami. Banks will not remain closed across the country due to Janmashtami. Banks will remain open in some states and will remain clos... [1368 chars]	https://www.informalnewz.com/monday-bank-closed-banks-will-be-closed-in-these-states-on-monday-know-the-reason/	https://www.informalnewz.com/wp-content/uploads/2022/08/3RD-1024x825-1-300x242-1.png	2024-08-25 14:01:06+00:00	informalnewz	https://www.informalnewz.com	in	general
cb9e637e-24b9-4587-b0da-1675956e745d	'Bhagavad Gita Is Inspiration': Telangana CM On Bulldozer Action Against Nagarjuna's Convention Hall	While speaking at a function by the Hare Krishna Movement, the Chief Minister said that the Bhagavad Gita is an inspiration to demolish illegal structures	"Telangana Chief Minister Revanth Reddy supported the demolition of the convention centre co-owned by actor Nagarjuna Akkineni and said that it was proper as per the teachings of Lord Krishna in Bhagwad Gita.
He further said that his government will n... [2279 chars]"	https://www.news18.com/india/bhagavad-gita-is-inspiration-telangana-cm-on-bulldozer-action-against-nagarjunas-convention-hall-9027454.html	https://images.news18.com/ibnlive/uploads/2024/08/mixcollage-25-aug-2024-05-57-pm-1925-2024-08-54147ed7fb0ee84aceb79aa38a96379a-16x9.jpg?impolicy=website&width=1200&height=675	2024-08-25 13:42:28+00:00	News18	https://www.news18.com	in	general
7440d1d4-2170-4704-bed6-49b1316f4dd3	Tiruchi government hospital sets up a special ward for monkeypox	Close on the heels of the outbreak of monkeypox (Mpox)), a viral disease, in some countries, a special ward has been set up at the Mahatma Gandhi Memorial Government Hospital (MGGH)	"Close on the heels of the outbreak of monkeypox (Mpox)), a viral disease, in some countries, a special ward has been set up at the Mahatma Gandhi Memorial Government Hospital (MGGH) in Tiruchi.
Though no one tested positive for monkeypox in Tiruchi s... [1291 chars]"	https://www.thehindu.com/news/cities/Tiruchirapalli/tiruchi-government-hospital-sets-up-a-special-ward-for-monkeypox/article68565580.ece	https://th-i.thgim.com/public/incoming/64zt8s/article68565660.ece/alternates/LANDSCAPE_1200/4861_24_9_2022_13_4_14_2_GH_02.JPG	2024-08-25 13:21:00+00:00	The Hindu	https://www.thehindu.com	in	general
a6052f6e-e0ac-4b6c-9664-0410b73921f9	How Alzheimer’s and heart disease share common genetic origins, study finds	Genetic study reveals link between heart conditions and Alzheimer's disease, shedding light on potential shared causes and future treatments.	A new study published this month in the International Journal of Molecular Sciences suggests that genes linked to heart conditions may also play a role in Alzheimer’s disease. Researchers found that people with heart issues face a faster decline in m... [948 chars]	https://www.thehindubusinessline.com/multimedia/how-alzheimers-and-heart-disease-share-common-genetic-origins-study-finds/article68565260.ece	https://bl-i.thgim.com/public/incoming/kryy5p/article68565256.ece/alternates/LANDSCAPE_1200/Daily%20News%20Thumbnail%206.png	2024-08-25 11:05:17+00:00	BusinessLine	https://www.thehindubusinessline.com	in	general
8064db18-cf58-47fa-96df-1e8a852a03d3	‘Focused on only one paragraph’: Omar Abdullah to Amit Shah on NC's manifesto for J&K polls	Thanking Home Minister Amit Shah for his remarks, Omar Abdullah said Shah made sure that people read his party's manifesto for J&K assembly elections. | Latest News India	National Conference (NC) party vice president Omar Abdullah criticised Union Home Minister Amit Shah for “focusing on only one paragraph of his party's manifesto” for the upcoming Jammu & Kashmir (J&K) assembly elections. The former J&K chief ministe... [2119 chars]	https://www.hindustantimes.com/india-news/focused-on-only-one-paragraph-omar-abdullah-to-amit-shah-on-ncs-manifesto-for-j-k-polls-101724579134275.html	https://www.hindustantimes.com/ht-img/img/2024/08/25/1600x900/NC-vice-president-Omar-Abdullah-releasing-the-part_1724580533689_1724580547896.jpg	2024-08-25 10:24:20+00:00	Hindustan Times	https://www.hindustantimes.com	in	general
eab039e1-1177-4daa-8d9e-93dd72bddb51	Mumbai Police begins probe after TISS student was found dead at home	Officials stated that the TISS student did not wake up in the morning and was rushed to a local hospital in Chembur where he was pronounced dead on arrival.	"The deceased student, Anurag Jaiswal, was part of the Human Resource program of the institution. Sources said that Jaiswal had attended a party at Vashi the previous night with his friends.
Representative Image
Listen to this article Mumbai: TISS stu... [727 chars]"	https://www.mid-day.com/mumbai/mumbai-crime-news/article/mumbai-tiss-student-found-dead-at-home-cops-suspect-ragging-begin-probe-23380600	https://images.mid-day.com/images/images/2024/aug/Death-rep-image_d.jpg	2024-08-25 10:18:00+00:00	mid-day.com	https://www.mid-day.com	in	general
23260f6c-3533-4b2f-bdf5-2c264b25adb4	Sexual assault allegations against Siddique, Ranjith: LDF govt under fire; Kochi man files complaint	Vyttila native Ajikumar filed a complaint with the Kochi police commissioner seeking action against Siddique and Ranjith..ranjith. siddique. sexual assault allegations against siddique. Ranjith. hema committee report. latest news. Kerala	Kochi: The Kerala government has come under fire after two female actors raised sexual harassment allegations against actor Siddique and filmmaker Ranjith following the release of the Hema Committee report that revealed shocking details of crimes aga... [2582 chars]	https://www.onmanorama.com/content/mm/en/kerala/top-news/2024/08/25/sexual-assault-allegations-against-siddique-ranjith-ldf-govt-under-fire.html	https://img.onmanorama.com/content/dam/mm/en/kerala/top-news/images/2024/8/25/ranjith-saji-cherian-siddique.jpg	2024-08-25 10:07:35+00:00	Onmanorama	https://www.onmanorama.com	in	general
60559313-4192-4024-84be-37b19ef05919	Kolkata doctor Rape-Murder case live updates: As Bengal doctors continue to protest, prohibitory orders near R G Kar Hospital extended till Aug 31	Kolkata doctor Rape-Murder case latest updates: The CBI conducted raids at several locations in Kolkata, including premises of R G Kar College and Hospital's former principal Sandip Ghosh, in connection with the corruption charges.	"Kolkata doctor Rape-Murder case live updates: Doctors protesting at R G Kar Medical College and Hospital (Express photo by Partha Paul)
Kolkata doctor rape-murder case Live Updates, August 25: A day after the West Bengal health department held separa... [1098 chars]"	https://indianexpress.com/article/india/kolkata-rg-kar-doctor-rape-murder-case-live-updates-9530403/	https://images.indianexpress.com/2024/08/loksabha-2024-08-25T120334.159.jpg	2024-08-25 09:29:00+00:00	The Indian Express	https://indianexpress.com	in	general
b3c93954-3d92-4b0f-908a-3c7eda2249e9	UN envoy alarmed by Taliban's harsh new morality code for Afghan women. What does it say?	The Taliban published its vice and virtue laws that cover aspects of everyday life like public transportation, music, shaving and celebrations. | World News	The United Nations Assistance Mission in Afghanistan (UNAMA) on Sunday expressed deep concern over the recent enactment of a stringent morality law by the Taliban in Afghanistan. The Taliban Virtue and Vice Ministry had on May 7, 2022, said women in ... [2949 chars]	https://www.hindustantimes.com/india-news/un-envoy-alarmed-by-talibans-harsh-new-morality-code-for-afghan-women-what-does-it-say-101724583735894.html	https://www.hindustantimes.com/ht-img/img/2024/08/25/1600x900/Afghanistan-Taliban_harsh_morality_code_for_women_1724586040415_1724586040628.jpg	2024-08-25 11:46:48+00:00	Hindustan Times	https://www.hindustantimes.com	in	world
ba321a54-f65b-40cc-b33e-992c682acce4	Israel-Hezbollah conflict live: Egypt warns of new Gaza war-front in Lebanon	Israel-Hezbollah conflict LIVE Updates: Lebanese militant group Hezbollah attacked Israel early morning on Sunday, with more than 320 rockets	"Israel-Hezbollah conflict Live Updates: Hezbollah attacked Israel with more than 320 rockets after Israel launched pre-emptive strikes in Lebanon REUTERS/Karamallah Daher
Israel-Hezbollah conflict Live Updates: Lebanese militant group Hezbollah launc... [1466 chars]"	https://www.hindustantimes.com/world-news/israelhezbollah-conflict-live-updates-exchange-of-salvos-push-middle-east-to-brink-of-war-101724561909804.html	https://www.hindustantimes.com/ht-img/img/2024/08/25/550x309/ISRAEL-PALESTINIANS-HEZBOLLAH-5_1724563746219_1724563757072.JPG	2024-08-25 09:44:38+00:00	Hindustan Times	https://www.hindustantimes.com	in	world
6ddb9279-a5de-47a3-b56a-02655782fc9d	Who is Pavel Durov? All you need to know about billionaire Telegram founder-CEO arrested in France	The Franco-Russian billionaire, 39, was detained at an airport north of the French capital on Saturday evening. | World News	Telegram founder-CEO Pavel Durov was arrested in France on Saturday evening, with local media reports suggesting that the investigation was focused on a lack of moderators on the messaging app. The Russian embassy in France demanded consular access t... [3209 chars]	https://www.hindustantimes.com/world-news/who-is-pavel-durov-all-you-need-to-know-about-billionaire-telegram-founder-ceo-arrested-in-france-101724575874863.html	https://www.hindustantimes.com/ht-img/img/2024/08/25/1600x900/RUSSIA-FRANCE-ARREST-TELEGRAM-CEO_Pavel_Durov_1724577699371_1724577699617.jpg	2024-08-25 09:27:57+00:00	Hindustan Times	https://www.hindustantimes.com	in	world
